WPTNAME,LONGITUDE,LATITUDE,VILLAGE,SUBVILLAGE,REGION,DISTRICT,LGANAME,WARD,POPULATION SERVED,WPTCODE,HARDWARE_P,WATER_QUAL,WATER_QUAN,SOURCETYPE,STATUS,STATUS_GROUP,WATERPOINT
Tankini,34.8868762,-4.684788816,Mrama,Unyarughe,Singida,Singida,Singida,Mrama,0,13023062321WP10,none,unknown,dry,machine dbh,functional,functional,communal standpipe
Miembi,32.82215416,-9.216093783,Mponela,Songambele,Mbeya,Mbozi,Mbozi,Isandula,0,12063041171WP38_942,source damaged,soft,insufficient,shallow well,functional needs repair,functional needs repair,hand pump
Kituo cha Afya,30.53774668,-2.524464433,Murutabo,Kumutumba,Kagera,Ngara,Ngara,Mugoma,0,18307805121WP26_585,tap broken,soft,enough,spring,non functional > 6m,non functional,communal standpipe
Buganda,33.4169236,-2.930344287,Ilumba,Shuleni Street,Mwanza,Kwimba,Kwimba,Mwandu,0,19043053253WP12_669,none,soft,enough,shallow well,functional,functional,hand pump
Zahanati,33.19565729,-3.200776566,Milyungu,Milyungu,Mwanza,Kwimba,Kwimba,Mwamala,1,19043053181WP08,none,soft,enough,lake,functional,functional,communal standpipe
Kanisani,31.1658872,-6.086897741,Kambuzi Hult,Magharibi,Katavi,Mlele,Mlele,Litapunga,0,15013079341WP52_830,pump broken,salty,enough,shallow well,non functional < 6m,non functional,hand pump
Kwa Fuko,35.74794373,-10.81960319,Kikunja,Muungano,Ruvuma,Songea Rural,Songea Rural,Matimira,0,10023055171WP47,none,soft,enough,river,functional,functional,communal standpipe
Kwagabriel,36.52849488,-8.09629105,Idete,Msumbiji A,Morogoro,Kilombero,Kilombero,Lumemo,0,05033045101WP39,none,soft,enough,shallow well,functional,functional,hand pump
Kwa Namsemba,37.86213843,-4.23117171,Bangalala,Kinyan'Ga,Kilimanjaro,Same,Same,Mwembe,0,03033027083WP22,tap broken,soft,insufficient,spring,non functional > 6m,non functional,communal standpipe
Ofisini,39.28168414,-7.033318173,Kisemvule,Kisemvule Mjini,Pwani,Mkuranga,Mkuranga,Vikindu,2621,6043085033WP14_296,none,soft,enough,machine dbh,functional,functional,communal standpipe
Kwa Mzee Ally,37.48011972,-6.283301112,Msufini,Msufini,Morogoro,Mvomero,Mvomero,Sungaji,0,05063096021WP31,none,soft,enough,river,functional,functional,communal standpipe
Rwh Tank Ferro Tank  Zahanati,33.3091172,-3.868395542,Manyada,Bulima B,Shinyanga,Shinyanga Rural,Shinyanga Rural,Usanda,4317,17033058161WP08,none,soft,seasonal,rainwater harvesting,non functional,non functional,communal standpipe
Kijiweni,37.66002774,-3.679503503,Ndanda,Mgombela,Kilimanjaro,Mwanga,Mwanga,Kighare,0,0302302805WP33,none,soft,insufficient,spring,functional,functional,communal standpipe
Sokoni,36.56513886,-5.314048027,Kibaya,Kibaya Kati,Manyara,Kiteto,Kiteto,Kibaya,0,21043004012WP09,none,salty,insufficient,machine dbh,functional,functional,communal standpipe multiple
Kwa Dominiki Olomi,37.26927916,-3.194138152,Kifuni,Kawei,Kilimanjaro,Moshi,Moshi,Kibosho Magharibi,0,0304302525WP10_1059,tap broken,soft,enough,river,non functional > 6m,non functional,other
Kwa Magret Kashinje,33.35943675,-3.731500197,Ibanza,Ng'Honde,Shinyanga,Shinyanga Rural,Shinyanga Rural,Mwamala,0,1703305814WP45,none,soft,enough,machine dbh,functional,functional,hand pump
Kwa Mzee Shuhuli,38.07527376,-4.644620816,Mkomazi,Kijijini,Tanga,Korogwe,Korogwe,Mkomazi,0,04023071201WP11_498,tap broken,soft,enough,river,non functional,non functional,communal standpipe
Kwa Mzee Khamiss,32.67038667,-4.959684493,Kalunde,Msangi,Tabora,Tabora Urban,Tabora Urban,Kalunde,0,1406201703WP10,none,soft,seasonal,shallow well,functional,functional,hand pump
Iloiborsiret,37.21408232,-5.372166637,Loolera,Iloiborsiiret,Manyara,Kiteto,Kiteto,Loolera,6098,21053004161WP22,none,good,enough,machine dbh,functional,functional,communal standpipe
Maruvango Primary School,36.98791681,-3.252679216,Maruvango,Makiwaru,Arusha,Meru,Meru,Leguruki,0,02073098021WP05,none,soft,insufficient,spring,functional,functional,communal standpipe
Kwa Kayogela,32.95668905,-5.846260723,Mibono Mpya,Mibono,Tabora,Sikonge,Sikonge,Kipanga,3178,14053091041wp57,none,soft,enough,rainwater harvesting,functional,functional,communal standpipe
Tanesco,37.54659983,-3.381475275,Himo,Parokia,Kilimanjaro,Moshi,Moshi,Makuyuni,0,0304302507WP29_322,tap broken,soft,enough,spring,functional needs repair,functional needs repair,communal standpipe
Kwa Macho Ya Panzi,39.04585152,-7.414144841,Lupondo,Lupande,Pwani,Mkuranga,Mkuranga,Mkamba,1310,6043085123WP14_393,none,soft,dry,shallow well,non functional > 6m,non functional,other
Shule,33.81873437,-3.738339272,Mwamashele,Lubeho,Shinyanga,Kishapu,Kishapu,Mwamashele,0,1708339515WP05_72,none,soft,enough,river,functional,functional,communal standpipe multiple
Barabara 6,30.49756639,-5.64817097,Ifumbula,Barabara 6,Katavi,Mpanda Rural,Mpanda Rural,Mishamo,0,15013079223WP36_618,none,soft,enough,machine dbh,functional,functional,hand pump
Msikiti Wa Tawba,39.6693659,-7.921267931,Kilindoni,Kurungeni,Pwani,Mafia,Mafia,Kilindoni,0,606008043WP80,none,soft,insufficient,machine dbh,functional,functional,communal standpipe multiple
Shuleni,33.90708076,-9.346657524,Kilugu,Ngamanga,Mbeya,Rungwe,Rungwe,Itete,0,12043042111WP155_437,none,soft,enough,spring,functional,functional,communal standpipe
Kwa Evarista Munuo,37.10094243,-3.203601478,Lawate,Lomakaa,Kilimanjaro,Siha,Siha,Ivaeny,0,0307310301WP43,none,soft,enough,spring,functional,functional,communal standpipe
Kwa Simon Kabungo,33.68989726,-9.603411582,Ngana,Mbwata,Mbeya,Kyela,Kyela,Ngana,0,12033039101WP66_22,tap poorly sited,soft,dry,spring,non functional,non functional,communal standpipe
Mtengwa,38.89499114,-6.451674722,Maji Coast,Maji Coast,Pwani,Bagamoyo,Bagamoyo,Magomeni,5300,06013008053WP48_171,none,soft,enough,shallow well,functional,functional,hand pump
Kwa Balozi,37.68276576,-6.742575654,Kiegea A,Kiegea A,Morogoro,Morogoro Urban,Morogoro Urban,Kihonda,3500,05052008192WP02,other,salty,enough,machine dbh,non functional > 3m,non functional,communal standpipe
Kwa Juma Mwajagaje,33.4553916,-8.838105333,Ipompo,Impopo,Mbeya,Mbeya Urban,Mbeya Urban,Itagano,753,12082007052WP01,none,soft,enough,river,non functional,non functional,communal standpipe multiple
Kwa Mzee Saidi Selemani,38.47071584,-4.935871459,Mpalalu,Magana,Tanga,Lushoto,Lushoto,Tamota,1384,04013073201WP06_580,none,soft,enough,spring,functional,functional,communal standpipe
Zahanati,37.21634142,-6.966118705,Mkata,Shuleni,Morogoro,Kilosa,Kilosa,Msowero,0,05063096161WP33_791,engine broken,soft,insufficient,river,non functional,non functional,communal standpipe
Sumary,35.48239023,-4.276339,Maganjwa,Munmunang'I,Manyara,Babati,Babati,Dabil,0,21013002131WP15,none,soft,insufficient,spring,functional,functional,communal standpipe multiple
Tujiendeleze,31.9776252,-3.543665536,Nyamakunkwa,Nyamakunkwa B,Geita,Bukombe,Bukombe,Iyogelo,0,170530903WP11,pump stolen,soft,enough,shallow well,non functional > 6m,non functional,other
Kwa Mzee Juma,34.06821625,-8.838389277,Mwaluma,Mapogoro,Mbeya,Mbarali,Mbarali,Ihahi,0,12073087015WP20_56,pipe broken,soft,insufficient,river,non functional > 6m,non functional,communal standpipe
Gibson Baimu,33.52900723,-8.935135494,Nsongwe Juu,Soweto,Mbeya,Mbeya Rural,Mbeya Rural,Ijombe,0,12023040121WP10_355,none,soft,enough,river,functional,functional,communal standpipe
Ngaluma,36.62686028,-3.221720716,Olkulot,Ngaluma,Arusha,Arusha,Arusha,Olkokola,0,0202309915WP86,tap broken,soft,enough,spring,functional needs repair,functional needs repair,communal standpipe
Kwa Mzee Tawe,34.83018649,-11.30523993,Kilosa,Kilosa Juu,Ruvuma,Nyasa,Nyasa,Kilosa,0,1003305734WP10,none,soft,insufficient,spring,functional,functional,communal standpipe multiple
Kwa Mchio,34.50515931,-9.893927675,Mawengi,Manyanya,Njombe,Ludewa,Ludewa,Mawengi,0,110530193WP05_616,pump broken,soft,enough,spring,non functional,non functional,communal standpipe
Kwa Wach,32.84820615,-3.216452861,Isenengeja,Mwabasaki,Mwanza,Misungwi,Misungwi,Nhundulu,0,19073089206WP02_349,none,soft,enough,lake,functional,functional,communal standpipe multiple
Iseni Dispensary,32.51779173,-2.561484124,Rushini,Iseni,Mwanza,Sengerema,Sengerema,Nyanzenda,1,1905305125WP25,under construction,salty,enough,lake,non functional,non functional,communal standpipe multiple
Kwa Christopher,30.22610061,-4.503827154,Kanazi,Nyangwe,Kigoma,Kasulu Township Authority,Kasulu Township Authority,Ruhita,0,1602302210WP21_342,tap broken,soft,enough,river,functional needs repair,functional needs repair,communal standpipe
Mkomelo,37.38504834,-11.31267081,Angalia,Mkomelo,Ruvuma,Tunduru,Tunduru,Mtina,0,1001563012WP06_171,pump broken,soft,enough,machine dbh,non functional,non functional,hand pump
Miembeni,31.85119871,-3.291535133,Kakoyoyo,Kakoyoyo,Geita,Bukombe,Bukombe,Ng'anzo,0,1705309021WP36,none,soft,enough,shallow well,functional needs repair,functional needs repair,hand pump
Ofisini,36.66102753,-6.36709553,Manghweta,,Dodoma,Kongwa,Kongwa,Chamkoroma,0,01033086141WP24,pipe broken,soft,dry,spring,non functional,non functional,communal standpipe
Kwa Eluasi,35.33562196,-9.884730728,Madaba,Ifugwa,Ruvuma,Songea Rural,Songea Rural,Mahanje,0,10023055011WP15,none,soft,enough,river,functional,functional,communal standpipe
Kkkt Church Mawande,34.75146089,-8.990375916,Mawande,Lugalo,Njombe,Makambako Township Authority,Makambako Township Authority,Utengule,0,1104301832WP18_1775,none,soft,enough,spring,functional,functional,communal standpipe
Center,30.58959609,-3.839981229,Kichananga,Maendeleo,Kigoma,Kibondo,Kibondo,Rugongwe,0,16013023061WP09,none,soft,enough,spring,functional,functional,communal standpipe multiple
Kwa Richard,35.34431358,-9.834490396,Lilondo,Tuliani,Ruvuma,Songea Rural,Songea Rural,Wino,0,10023055021WP119,none,soft,enough,river,functional,functional,communal standpipe
Kwa Stephan,36.81926014,-3.492155459,Marurani,Marurani Kati,Arusha,Arusha,Arusha,Nduruma,0,0202309905WP173,none,soft,insufficient,spring,functional,functional,communal standpipe
Shuleni,36.13867572,-10.28022953,Mgombasi,Mliwasi,Ruvuma,Namtumbo,Namtumbo,Mgombasi,0,1005309714WP14,none,soft,enough,shallow well,functional,functional,hand pump
John Ludyoma,32.15653891,-3.660435509,Shenda,Ilamba,Geita,Mbogwe,Mbogwe,Masumbwe,1,170530902WP53,none,soft,enough,machine dbh,functional,functional,communal standpipe multiple
Marwz Jarubi,32.14188357,-5.057037257,Itundu,Geradi,Tabora,Urambo,Urambo,Utundu,0,14043068041WP10_102,none,soft,enough,shallow well,functional,functional,hand pump
Suku,34.79024919,-4.237427804,Malaja,Nerere,Singida,Mkalama,Mkalama,Mwanga,0,13013063091WP230,none,soft,dry,machine dbh,non functional,non functional,hand pump
Kwa Kiluwale,38.88944983,-7.284333951,Mkuluwili,Gozani,Pwani,Mkuranga,Mkuranga,Panzuo,342,6043085131WP37_415,none,salty,enough,hand dtw,functional,functional,hand pump
Shuleni,38.92550419,-10.06443463,Likangara,Likangara,Lindi,Ruangwa,Ruangwa,Ruangwa,0,80530921WP02,none,soft,seasonal,rainwater harvesting,functional needs repair,functional needs repair,communal standpipe
Kwa Mzee Linus Chengula,34.2819724,-9.31227656,Usungil,Intema,Njombe,Makete,Makete,Mang'oto,0,110330203wp44_585,none,soft,enough,spring,functional,functional,communal standpipe
Kwa Adriani Mgimba,34.74726574,-9.829572685,Mdilidili,Lusapu,Njombe,Ludewa,Ludewa,Lugarawa,2665,22053019073WP81,none,soft,enough,river,non functional,non functional,communal standpipe
Ofisini,38.02875067,-4.297629664,Mpirani,Mpirani,Kilimanjaro,Same,Same,Maore,0,03033027133WP18,pipe broken,soft,enough,river,non functional > 6m,non functional,communal standpipe
Kwa Kambo,35.1346937,-8.377724959,Matanana,C,Iringa,Mufindi,Mufindi,Bumilayinga,0,1102301716WP09,none,soft,enough,hand dtw,functional,functional,hand pump
Bustani Group,33.67730191,-3.202814272,Isulilo,Minanga,Simiyu,Maswa,Maswa,Isanga,0,170230592WP23_764,none,soft,insufficient,shallow well,non functional,non functional,other
Migungani B,35.76112563,-4.037327715,Matufa,Migungani,Manyara,Babati,Babati,Magugu,0,21013002183WP38,none,soft,enough,shallow well,functional,functional,hand pump
Umoja,34.39217762,-2.978319216,Shishani,Heleni,Simiyu,Itilima,Itilima,Migato,0,1701306012WP92_89,none,soft,enough,shallow well,functional needs repair,functional needs repair,hand pump
Kwa James,31.43359339,-1.839085255,Kishuro,Kishuro,Kagera,Muleba,Muleba,Ngenge,0,1803076211WP14_237,tap poorly sited,soft,dry,spring,non functional,non functional,communal standpipe
Kwa Mwenyekiti Mstaafu,35.10269069,-9.194555525,Image,Lusakanyo,Njombe,Njombe Rural,Njombe Rural,Kidegembye,0,1104301817WP44_1015,source damaged,soft,dry,river,non functional > 6m,non functional,communal standpipe
Kwa Msenda Rashid,36.8647508,-11.31888695,Marumba,Tuleane,Ruvuma,Tunduru,Tunduru,Marumba,0,1001563017WP17_285,pump broken,soft,enough,machine dbh,functional,functional,hand pump
Ignas Sanga,34.35372129,-9.612191865,Igumbil,Igumbilo,Njombe,Makete,Makete,Lupila,0,1103302010wp45_45,none,soft,enough,spring,functional,functional,communal standpipe
Kwa Mzee Matonela,38.04543757,-5.400547502,Kwenjugo Mashari,Amani,Tanga,Handeni Township Authority,Handeni Township Authority,Kwenjugo,3650,04063072193WP02,tap broken,soft,insufficient,river,non functional,non functional,communal standpipe
Mwabulumashi,33.52996347,-2.965980155,Igwata,Igwata,Simiyu,Maswa,Maswa,Nyabubinza,0,1702305914WP15_251,source damaged,soft,enough,shallow well,non functional,non functional,hand pump
Shule ya Msingi,36.66728695,-3.644509566,Losinyai,Inoti,Manyara,Simanjiro,Simanjiro,Oljoro  No. 5,3100,21043083061WP12,none,soft,enough,machine dbh,functional,functional,communal standpipe
Kwa Hindu,34.83326438,-5.748424435,Manyoni Mjini,Manyoni Kati B,Singida,Manyoni,Manyoni,Manyoni,0,13033064013WP26,none,soft,insufficient,machine dbh,functional,functional,communal standpipe multiple
Kwa Issa Ally,37.06934445,-11.40332745,Lijombo,Rahaleo,Ruvuma,Tunduru,Tunduru,Mbesa,0,1001563018WP19_321,none,soft,enough,machine dbh,functional,functional,hand pump
Kwa Silaji Ally,36.02402115,-10.5313369,Luegu,Mtwarapachani,Ruvuma,Namtumbo,Namtumbo,Luegu,0,1005309710WP29,tap broken,soft,enough,river,non functional,non functional,communal standpipe multiple
Kadata,33.06234991,-4.272498859,Isanzu,Kadata,Tabora,Nzega,Nzega,Isanzu,0,14013066211WP02,pump stolen,soft,insufficient,shallow well,non functional,non functional,other
Kwa Mzee Edwad,33.85677,-8.835321374,Maendeleo,Chemchem,Mbeya,Mbarali,Mbarali,Igurusi,0,12073087113WP13_618,none,soft,insufficient,river,functional,functional,communal standpipe
Mikorosho,38.83504768,-6.544962179,Congo,Mikuge,Pwani,Bagamoyo,Bagamoyo,Yombo,3600,06013008091WP67_66,none,soft,enough,river,functional,functional,communal standpipe
