REGION,TOTALNUMBER,FUNCTIONAL,NONFUNCTIONAL,NEEDS REPAIR
Arusha,4564,3065,1299,200
Dar es Salaam,1133,698,432,3
Dodoma,3532,1560,1727,245
Geita,1944,1133,715,96
Iringa,2292,1572,689,31
Kagera,4531,2338,1807,386
Katavi,1069,508,457,104
Kigoma,4083,1911,1424,748
Kilimanjaro,6094,3578,2116,400
Lindi,2228,797,1305,126
Manyara,2813,1635,1016,162
Mara,3034,1307,1650,77
Mbeya,6589,3292,2582,715
Morogoro,5476,2921,2172,383
Mtwara,2300,708,1443,149
Mwanza,3705,1765,1772,168
Njombe,5425,4208,1067,150
Pwani,3674,2252,1375,47
Rukwa,1907,768,1070,69
Ruvuma,3810,2101,1486,223
Shinyanga,3038,1638,1293,107
Simiyu,4019,2128,1186,705
Singida,2910,1381,1366,163
Tabora,3035,1433,1544,58
Tanga,3740,2225,1420,95
